ApplicationDir;CodeLogicielTelium;Trigramme;ParametresBuildJenkins;PlateformeT2;PlateformeT3;PathDEV;PathPourQA
ADM;829322;ADM;ADM;Non;Non;https://frsnprsvn1/svn/dev-fr/dev-embedded-V2/trunk/ADM;
ADS;829320;ADS-APPLI;ADS DLL;Non;Non;;
ADS;829321;ADS-DLL;ADS DLL;Non;Non;;
ADS;829411;BAS;BASE_ASSO;Non;Non;;
ADS;829393;BTP;BTP;Non;Non;;
AME_MPA;829389;AME_MPA;;Non;Non;;
AMS;829402;AMS;;Non;Non;;
APPTEST;NA;NA;;Non;Non;;
AccordEmv;829341;ACE;ACP AccordEMV;Non;Non;;
AccordV2;829339;ACP;;Non;Oui;;
Alphyra;829348;APH;APH;Non;Non;;
Amex;829358;AMX;;Non;Non;;
Amex_EMV;829334;AME;;Non;Non;;
BanVAD;829342;VAD;;Non;Non;;
BundleP2PE;;;;Non;Non;;
C3I-SP-UK;NA;NA;NA;Non;Non;;
C3Kernel_U32;NA;NA;NA;Non;Non;;
C3WS;;;;Non;Non;;
C3driver;829395;C3D;;Non;Non;;
CB-Enseigne;;;;Non;Non;;
CB-Enseigne_U32;;;;Oui;Non;;
CETNCB;;;;Non;Non;;
CFG_TETRA;;;;Non;Non;;
CMCIC_Scheme;NA;NA;NA;Non;Non;;
CONECS;829398;CNS;;Non;Non;;
CONECS_Ctls;829399;CNX;;Non;Non;;
CPA;829405;CPA;;Non;Non;;
CPA;851220;CPAFAST;;Non;Non;;
CPA;85122A;IHMDLL;;Non;Non;;
CPA;851221;HAP;;Non;Non;;
CPA;85122E;CPAENG;;Non;Non;;
CSB;;CSB;;Non;Non;;
CUP_ICBC;829409;CUI;;Non;Non;;
CUP_Natixis;829382;CUN;;Non;Non;;
Carte_ED;829350;CED;;Non;Non;;
Casino;829345;CAF;;Non;Non;;
Catti;;;;Non;Non;;
Cofinoga;829338;COF;;Non;Non;;
CofinogaEmv;829346;CFE;;Non;Non;;
Comarch;829368;CAT;;Non;Non;;
Credipar;829367;PSA;;Non;Non;;
Credipar_FID;829372;PSF;;Non;Non;;
CrossChannel;;;;Non;Non;;
Cup;829344;CUP;;Non;Non;;
DCC_FCC;829347;FCC;;Non;Non;;
DCC_PCC;829408;PCC;;Non;Non;;
Diners;829331;DCF;;Non;Non;;
Disney_Fid;829394;DSY;;Non;Non;;
EID;853040;EID;;Non;Non;https://frsnprsvn1/svn/dev-fr/dev-embedded-V2/trunk/EID;:EID
ELF_Total;829363;ELF;;Non;Non;;
EMV52;829330;EMV;EMV52;Non;Non;;
EMV52-BIS;;;;Non;Non;;
EMV52-INT;;;;Non;Non;;
EMV52_Ctls;829357;SSC;;Non;Non;;
EMV52_Ctls_BIS;;;;Non;Non;;
EMV52_MPA;;;;Non;Non;;
EMV52_MPAP;;;;Non;Non;;
EMV52_MPA_B12v3;;;;Non;Non;;
EMV52_MPE_B12v3;829357;SSC;EMV52_MPE_B12v3;Non;Non;https://frsnprsvn1/svn/dev-fr/dev-embedded-V2/trunk/EMV52_MPE_B12v3;:SSC/PP
EMV52_U32;;;;Non;Non;;
EMV55;;;;Non;Non;;
EMV_Ctls_U32;;;;Non;Non;;
Everest;829374;CEV;;Non;Non;;
Fexco;829359;FXO;;Non;Non;;
